symbol,signal_type,date,close_price,dma_50,dma_100,dma_200,adx,plus_di,minus_di,volume,avg_volume_30d,volume_ratio,signal_strength,created_at
UPL.NS,BUY,2025-11-17,773.2000122070312,698.5979956054688,695.8891302490234,664.4818572998047,28.39,27.59,11.28,3590666.0,2257736.7333333334,1.5903829472175541,90.0,2025-11-18T23:55:39.357862
BHARTIARTL.NS,BUY,2025-11-17,2112.199951171875,1983.2740014648436,1955.127998046875,1850.6632293701173,26.62,35.1,21.75,5998770.0,7762315.933333334,0.7728067308159637,90.0,2025-11-18T23:55:28.969007
BPCL.NS,BUY,2025-11-17,374.25,335.5843139648438,327.66174774169923,302.6259185028076,43.86,30.51,8.78,9063998.0,8539960.066666666,1.0613630425953358,90.0,2025-11-18T23:55:38.305005
LT.NS,BUY,2025-11-17,4027.699951171875,3787.72599609375,3685.579006347656,3531.999528808594,46.52,33.53,9.66,1206133.0,1727280.0333333334,0.698284572694553,90.0,2025-11-18T23:55:29.509100
AXISBANK.NS,BUY,2025-11-17,1249.5999755859375,1180.13400390625,1144.6083532714845,1128.0077587890626,44.06,31.35,11.39,4088026.0,6335580.133333334,0.6452488823386044,90.0,2025-11-18T23:55:29.769056
ASIANPAINT.NS,BUY,2025-11-17,2883.39990234375,2496.0205224609376,2470.1449072265623,2374.2783544921876,44.46,51.52,6.95,1230683.0,1208282.1666666667,1.0185394057375947,90.0,2025-11-18T23:55:30.055157
TITAN.NS,BUY,2025-11-17,3868.60009765625,3619.0900048828125,3569.2955517578125,3444.7200903320313,25.19,26.46,18.16,504928.0,1002334.9,0.5037517899456558,90.0,2025-11-18T23:55:30.586187
NESTLEIND.NS,BUY,2025-11-17,1270.300048828125,1226.5439990234374,1199.1967370605469,1174.0029638671874,26.71,25.36,15.96,774802.0,1222814.8666666667,0.6336216717024975,90.0,2025-11-18T23:55:31.442401
SBILIFE.NS,BUY,2025-11-17,1996.0,1866.0959985351562,1848.4819995117186,1727.9946740722655,48.1,29.14,7.02,726715.0,989846.3,0.734169537230174,90.0,2025-11-18T23:55:37.024325
SBIN.NS,BUY,2025-11-17,973.3499755859375,890.0039965820313,850.9484997558594,804.9737545776367,55.69,34.3,8.94,7415026.0,10341634.266666668,0.7170071778597159,90.0,2025-11-18T23:55:28.625807
ONGC.NS,BUY,2025-11-17,248.0500030517578,238.90186950683594,235.97544509887695,234.90663520812987,31.95,22.61,14.46,6281588.0,8952900.2,0.7016260496235622,90.0,2025-11-18T23:55:32.702351
M&M.NS,BUY,2025-11-17,3734.89990234375,3570.0739990234374,3400.3500048828123,3138.2811669921875,26.23,31.81,16.65,2094008.0,2028049.9666666666,1.0325228837639258,90.0,2025-11-18T23:55:33.913752
HEROMOTOCO.NS,BUY,2025-11-17,5798.5,5464.22,5010.654799804687,4457.124642333984,20.22,34.17,16.39,1770568.0,595990.5666666667,2.9707986988832094,90.0,2025-11-18T23:55:36.792017
INDUSINDBK.NS,BUY,2025-11-17,854.0499877929688,766.6700024414063,790.7090002441406,817.506251525879,29.79,35.2,14.87,4019335.0,4268766.333333333,0.941568286044235,80.0,2025-11-18T23:55:34.982264
DIVISLAB.NS,BUY,2025-11-17,6518.5,6307.8,6382.559311523438,6192.402607421875,30.31,24.01,17.74,242726.0,477247.73333333334,0.5085953961576349,80.0,2025-11-18T23:55:37.993643
RELIANCE.NS,BUY,2025-11-17,1518.300048828125,1425.290009765625,1427.2234838867187,1370.0447631835937,41.39,32.74,8.89,5871416.0,10485230.266666668,0.5599701533180126,80.0,2025-11-18T23:55:27.108086
HINDALCO.NS,BUY,2025-11-17,807.1500244140625,780.8630041503907,734.9521569824219,684.2529949951172,27.54,24.5,24.23,2770547.0,6429342.866666666,0.43092226646739834,80.0,2025-11-18T23:55:34.709838
ADANIPORTS.NS,BUY,2025-11-17,1507.5999755859375,1429.7319995117186,1408.2469982910156,1321.027036743164,24.71,28.02,11.02,1750560.0,2234751.1,0.7833355580404457,80.0,2025-11-18T23:55:34.181504
SUNPHARMA.NS,BUY,2025-11-17,1763.9000244140625,1660.043994140625,1656.1982202148438,1678.7191534423828,36.83,32.6,6.57,1430618.0,1692621.1666666667,0.8452086197275684,80.0,2025-11-18T23:55:30.918804
HCLTECH.NS,BUY,2025-11-17,1606.4000244140625,1480.9023266601562,1506.4050805664062,1543.4815008544922,32.15,35.61,15.67,2000978.0,2164151.3333333335,0.9246016991418037,80.0,2025-11-18T23:55:32.028042
BAJFINANCE.NS,BUY,2025-11-17,1026.800048828125,1024.85400390625,966.4985009765625,921.7277822875976,23.04,22.05,30.09,6011603.0,7083997.133333334,0.8486173676881875,60.0,2025-11-18T23:55:31.733528
BAJAJFINSV.NS,BUY,2025-11-17,2079.60009765625,2065.796008300781,2024.339208984375,1978.7319396972657,20.22,20.1,29.33,817576.0,1030584.4333333333,0.793312972286631,60.0,2025-11-18T23:55:37.345186
KOTAKBANK.NS,BUY,2025-11-17,2102.89990234375,2084.646013183594,2076.9151525878906,2067.0931134033203,21.32,22.52,24.71,5030328.0,2653470.6333333333,1.8957541631733905,60.0,2025-11-18T23:55:29.228387
ICICIBANK.NS,SELL,2025-11-17,1379.0,1379.2960009765625,1405.4033837890624,1371.2982537841797,19.15,24.22,20.99,7660717.0,12337627.333333334,0.6209230343100545,,2025-11-18T23:55:27.745131
HINDUNILVR.NS,SELL,2025-11-17,2425.0,2506.0484765625,2491.407316894531,2383.1668872070313,19.49,17.36,25.27,920038.0,1351112.3,0.6809485784416291,,2025-11-18T23:55:28.037222
ITC.NS,SELL,2025-11-17,407.1000061035156,408.33799743652344,410.75349975585937,412.03147216796873,19.68,24.04,21.53,7855399.0,13730544.333333334,0.5721112586140976,,2025-11-18T23:55:28.332043
MARUTI.NS,SELL,2025-11-17,15878.0,15880.22,14443.799814453125,13268.485859375,24.95,27.55,18.74,301069.0,331381.9,0.9085257824884219,,2025-11-18T23:55:30.306660
ULTRACEMCO.NS,SELL,2025-11-17,11778.0,12177.7,12286.45279296875,11780.98380859375,23.55,16.74,27.04,194379.0,198936.7,0.9770896973761,,2025-11-18T23:55:31.188348
WIPRO.NS,SELL,2025-11-17,244.0500030517578,245.00940002441405,248.75526016235352,255.7883364868164,10.21,25.97,20.51,6559062.0,8915737.233333332,0.7356724215107626,,2025-11-18T23:55:32.395357
NTPC.NS,SELL,2025-11-17,330.20001220703125,333.4608422851563,332.0144967651367,331.1073519897461,22.16,16.28,23.43,6283156.0,8574548.7,0.7327681280765249,,2025-11-18T23:55:32.985424
POWERGRID.NS,SELL,2025-11-17,273.54998779296875,280.04816955566406,282.5255187988281,281.7547206878662,24.76,19.46,28.24,9884392.0,11791215.566666666,0.8382843943539471,,2025-11-18T23:55:33.259293
TATASTEEL.NS,SELL,2025-11-17,173.1699981689453,174.03939880371092,167.0607989501953,155.33919807434083,29.33,15.83,21.97,28204282.0,25705180.5,1.0972217059514522,,2025-11-18T23:55:33.611923
GRASIM.NS,SELL,2025-11-17,2790.300048828125,2821.595986328125,2799.232888183594,2684.6298083496094,20.55,19.86,27.54,459047.0,514000.0333333333,0.8930874907206556,,2025-11-18T23:55:35.819561
CIPLA.NS,SELL,2025-11-17,1535.5999755859375,1543.87,1534.3154064941407,1499.1087353515625,14.09,23.4,23.55,912322.0,1422229.9666666666,0.6414729132295273,,2025-11-18T23:55:35.976988
DRREDDY.NS,SELL,2025-11-17,1244.4000244140625,1257.7679931640625,1259.4964733886718,1226.5412866210938,18.74,24.6,21.42,1423044.0,1868452.6333333333,0.761616309995121,,2025-11-18T23:55:36.254612
EICHERMOT.NS,SELL,2025-11-17,6799.0,6911.46,6305.747895507812,5765.463662109375,27.06,13.31,26.4,789635.0,391671.06666666665,2.0160667131228824,,2025-11-18T23:55:36.519701
BRITANNIA.NS,SELL,2025-11-17,5830.5,5988.0,5821.292436523438,5473.07771484375,18.66,20.63,33.25,332821.0,373165.5,0.8918857718626186,,2025-11-18T23:55:37.705119
APOLLOHOSP.NS,SELL,2025-11-17,7487.5,7725.57,7597.75146484375,7158.215317382813,29.32,11.66,31.46,248470.0,309812.4666666667,0.8020012966984112,,2025-11-18T23:55:38.860017
TATAMOTORS.NS,SELL,2025-11-17,372.70001220703125,556.2050012207031,617.1965002441407,646.0856509399414,54.75,10.32,53.66,32393346.0,14400218.133333333,2.2495038408492256,,2025-11-18T23:55:39.665932
ADANIENT.NS,SELL,2025-11-17,2462.0,2475.8698486328126,2464.758923339844,2412.251248779297,17.35,23.57,22.61,2672697.0,1321475.5666666667,2.0225095850555137,,2025-11-18T23:55:39.943989
BAJAJ-AUTO.NS,SELL,2025-11-17,8945.5,8954.99,8681.63,8367.507341308594,14.95,25.17,20.94,457995.0,342618.8333333333,1.3367478826081267,,2025-11-18T23:55:40.186718
SHREECEM.NS,SELL,2025-11-17,26680.0,28937.9098828125,29765.42802734375,29445.243212890626,26.77,10.75,30.63,20761.0,21694.4,0.9569750719079577,,2025-11-18T23:55:40.519973
